,author,feature,token_id,doc_id,to_report,doc_tested,len
50005,DtrH,853,31109,DtrH|2Kgs.17,True,2Kgs.17,530
50006,DtrH,[Sp3mp],31109,DtrH|2Kgs.17,True,2Kgs.17,530
50007,DtrH,l,31110,DtrH|2Kgs.17,True,2Kgs.17,530
50008,DtrH,1115,31110,DtrH|2Kgs.17,True,2Kgs.17,530
50009,DtrH,6213,31111,DtrH|2Kgs.17,True,2Kgs.17,530
50010,DtrH,[Sp3mp],31112,DtrH|2Kgs.17,True,2Kgs.17,530
50011,DtrH,k,31112,DtrH|2Kgs.17,True,2Kgs.17,530
50012,DtrH,k,31112,DtrH|2Kgs.17,True,2Kgs.17,530
50013,DtrH,c,31113,DtrH|2Kgs.17,True,2Kgs.17,530
50014,DtrH,5800,31113,DtrH|2Kgs.17,True,2Kgs.17,530
50015,DtrH,853,31114,DtrH|2Kgs.17,True,2Kgs.17,530
50016,DtrH,3605,31115,DtrH|2Kgs.17,True,2Kgs.17,530
50017,DtrH,4687,31116,DtrH|2Kgs.17,True,2Kgs.17,530
50018,DtrH,<Np>,31117,DtrH|2Kgs.17,True,2Kgs.17,530
50019,DtrH,[Sp3mp],31118,DtrH|2Kgs.17,True,2Kgs.17,530
50020,DtrH,430,31118,DtrH|2Kgs.17,True,2Kgs.17,530
50021,DtrH,6213,31119,DtrH|2Kgs.17,True,2Kgs.17,530
50022,DtrH,c,31119,DtrH|2Kgs.17,True,2Kgs.17,530
50023,DtrH,l,31120,DtrH|2Kgs.17,True,2Kgs.17,530
50024,DtrH,[Sp3mp],31120,DtrH|2Kgs.17,True,2Kgs.17,530
50025,DtrH,l,31120,DtrH|2Kgs.17,True,2Kgs.17,530
50026,DtrH,4541,31121,DtrH|2Kgs.17,True,2Kgs.17,530
50027,DtrH,8147,31122,DtrH|2Kgs.17,True,2Kgs.17,530
50028,DtrH,8147,31123,DtrH|2Kgs.17,True,2Kgs.17,530
50029,DtrH,5695,31124,DtrH|2Kgs.17,True,2Kgs.17,530
50030,DtrH,6213,31125,DtrH|2Kgs.17,True,2Kgs.17,530
50031,DtrH,c,31125,DtrH|2Kgs.17,True,2Kgs.17,530
50032,DtrH,<Np>,31126,DtrH|2Kgs.17,True,2Kgs.17,530
50033,DtrH,c,31127,DtrH|2Kgs.17,True,2Kgs.17,530
